1,Chapa o latonería y pintura.
2,Entonación puesta a punto e inyección.
3,Instalación de Gas Natural para vehículos.
4,Mantenimiento y reparación de flotas de taxis.
5,Mantenimiento y reparación de flotas de autobuses.
6,Mantenimiento y reparación de flotas de camiones.
7,Mecanica general.
8,Modificación o construcción de vehículos para minusválidos.
9,Modificación o construcción de ambulancias.
10,Modificación o construcción de vehículos fúnebres.
11,Modificación o construcción de limosinas.
12,Modificación o construcción de vehículos blindados.
13,Reparación de transmisiones.
14,Reparación de radiadores.
15,Reparación de silenciadores.
16,Reparación de aire acondicionado de vehículos.
17,Reparación de frenos.
18,Reparación e instalación de cristales y lunas.
19,Reparación de tren delantero.
20,Reparación de motos.
21,Reparación de botes.
22,Restauración de vehículos.
23,Tractores y maquinaria agrícola.
